# index, id, female, _pos
0,0,0,"array([16.74427184, 21.06283843])"
1,1,0,"array([16.72531926, 21.05671322])"
2,2,0,"array([16.67590469, 21.03805031])"
3,3,0,"array([16.74520122, 21.09838673])"
4,4,0,"array([16.74056614, 21.10296447])"
5,5,0,"array([16.71060879, 21.0842404 ])"
6,6,0,"array([16.74592488, 21.11963901])"
7,7,0,"array([16.80377356, 21.10408054])"
8,8,0,"array([16.71198889, 21.01131845])"
9,10,0,"array([16.67571549, 21.08566067])"
10,11,0,"array([16.70785951, 21.0826848 ])"
11,12,0,"array([16.73015886, 21.07402742])"
12,13,0,"array([16.71725829, 21.08281811])"
13,14,0,"array([16.75469056, 21.06279453])"
14,15,0,"array([16.74110973, 21.11954206])"
15,16,0,"array([16.73160977, 21.11891549])"
16,17,0,"array([16.77878716, 21.05562967])"
17,18,0,"array([16.71472395, 21.12311344])"
18,19,0,"array([16.72007382, 21.04887185])"
19,20,0,"array([16.70515445, 21.13695219])"
20,21,0,"array([16.69626304, 21.15087461])"
21,22,0,"array([16.70725519, 21.08586857])"
22,23,0,"array([16.75004866, 21.08426544])"
23,24,0,"array([16.64035977, 21.04706974])"
24,25,0,"array([16.74109839, 21.06203108])"
25,26,0,"array([16.71165354, 21.19306552])"
26,27,0,"array([16.7593299 , 21.13191762])"
27,28,0,"array([16.77259423, 21.03515071])"
28,29,0,"array([16.7060864 , 21.11319961])"
29,30,0,"array([16.74048076, 21.13754223])"
30,31,0,"array([16.74113487, 21.0510097 ])"
31,32,0,"array([16.72297231, 21.12951071])"
32,33,0,"array([16.80448804, 21.12797056])"
33,34,0,"array([16.73332919, 21.04215021])"
34,35,0,"array([16.72167145, 21.0783873 ])"
35,36,0,"array([16.76847998, 21.10537593])"
36,37,0,"array([16.77156194, 21.0865957 ])"
37,38,0,"array([16.69514748, 21.0465457 ])"
38,39,0,"array([16.69030131, 21.11086917])"
39,40,0,"array([16.77712259, 21.34403895])"
40,41,0,"array([16.76120486, 21.11517891])"
41,42,0,"array([16.69997589, 21.07277601])"
42,43,0,"array([16.78231614, 21.01999376])"
43,44,0,"array([16.7553958 , 21.07653333])"
44,45,0,"array([16.67705158, 21.06228235])"
45,46,0,"array([16.75736379, 21.09911904])"
46,47,0,"array([16.72289774, 21.06585747])"
47,48,0,"array([16.75944161, 21.10457565])"
48,49,0,"array([16.75402882, 21.0846083 ])"
49,50,0,"array([16.73367401, 21.05139374])"
50,51,0,"array([16.73391024, 21.09583433])"
51,52,0,"array([16.73636094, 21.07516144])"
52,53,0,"array([16.70744976, 21.06884526])"
53,54,0,"array([16.70254512, 21.08673101])"
54,55,0,"array([16.75192455, 21.06327444])"
55,56,0,"array([16.74040371, 21.10070881])"
56,57,0,"array([16.75090853, 21.06993168])"
57,58,0,"array([16.74403093, 21.11745036])"
58,59,0,"array([16.76795009, 21.03997925])"
59,60,0,"array([16.63955703, 20.82486026])"
60,61,0,"array([16.72998172, 21.10780828])"
61,62,0,"array([16.73302429, 21.06654159])"
62,63,0,"array([16.71396108, 21.08108848])"
63,64,0,"array([16.7479618 , 21.06516513])"
64,65,0,"array([16.77040128, 21.08998171])"
65,66,0,"array([16.76790463, 21.01390826])"
66,67,0,"array([16.72026778, 21.13700294])"
67,68,0,"array([16.70657243, 21.04391008])"
68,69,0,"array([16.74576971, 21.08352419])"
69,70,0,"array([16.69927664, 21.07765101])"
70,71,0,"array([16.68701694, 21.04258536])"
71,72,0,"array([16.75516334, 21.07306257])"
