# source, target, timestamp, duration
0,362,215979,3
0,158,1609347,174
0,158,1612022,6
1,260,1095240,4
1,35,1113788,2
1,34,1114379,34
1,260,1224453,0
1,260,1598666,0
1,260,1598682,36
1,260,1862079,32
1,35,1863784,2
1,35,1863855,21
1,260,1948434,32
1,344,2308125,20
2,305,150362,16
2,197,756046,42
2,168,1087062,1
2,168,1088108,-1
2,168,1088113,12
2,168,1088211,0
2,305,1166624,-1
2,250,1173702,0
2,250,1173731,0
2,250,1177413,-1
2,250,1177429,11
2,305,1253020,0
2,305,1273488,-1
2,359,1337264,2
2,305,1359887,19
2,250,2030852,-1
2,250,2030880,13
2,168,2129607,0
2,168,2129625,49
2,504,2129815,12
2,197,2155522,59
2,197,2171169,7
2,305,2171191,14
2,305,2171196,-1
3,525,1666523,2
4,293,302705,52
4,21,561509,2
4,293,1024951,107
4,21,1089687,0
4,293,1166281,0
4,293,1169937,3
4,293,1181836,3
4,21,1189639,2
4,21,1607069,2
4,21,1611513,4
4,21,1712069,0
5,520,1862093,0
6,300,112152,-1
6,300,112197,0
6,419,112333,68
6,300,220068,0
6,300,220107,0
6,396,406787,24
6,396,476099,11
8,9,65812,-1
8,9,65878,0
8,9,69727,-1
8,9,69794,0
8,9,72171,-1
8,9,72238,0
8,349,148605,112
8,181,832053,36
8,181,987378,-1
8,349,1722953,64
8,20,1796557,29
8,9,1814055,-1
8,9,1961885,4
9,412,487033,2
9,412,487123,-1
9,355,580965,0
9,355,581054,-1
9,355,652572,260
9,355,652577,0
9,355,652660,260
9,491,1124884,3
9,491,1124978,-1
9,412,1373244,1
9,412,1373339,-1
9,412,1448335,2
9,412,1448425,-1
9,87,1519910,26
9,166,1691011,0
9,7,1804100,2
9,8,1960709,0
9,8,1961904,0
9,8,1961914,0
9,8,1961925,52
9,8,2225103,2
10,302,1095620,33
11,471,1691834,0
11,471,1692606,14
11,471,1693198,0
11,41,1724766,70
11,41,1724918,77
11,471,1758478,0
11,250,2310479,-1
11,250,2310531,-1
11,297,2321078,0
11,297,2339176,51
12,406,1624924,0
12,406,1971554,4
13,528,822767,3
14,33,26400,619
14,33,61919,74
14,421,65469,286
14,421,301969,55
14,421,658764,155
14,421,675773,246
14,421,678405,227
14,33,926893,286
14,33,1004531,0
14,421,1004653,2
14,421,1020147,188
14,33,1456125,5
14,33,1456189,118
14,421,1545475,2
14,421,1957211,30
14,421,2117280,135
14,421,2137074,86
15,16,227013,128
15,16,245801,364
15,16,252604,21
15,314,288154,2
15,16,334357,463
15,16,424595,12
15,16,652811,-1
15,16,1150718,-1
15,16,1251429,18
15,16,1251537,8
15,16,1253822,28
15,16,1272901,22
15,16,1967423,42
15,16,2107750,46
15,16,2121904,53
15,16,2125194,11
15,16,2125705,5
15,16,2208725,21
15,16,2209623,29
15,16,2319435,94
16,15,155782,0
16,15,155791,0
16,15,155963,0
16,15,156121,18
16,15,248392,4
16,15,251396,2
16,15,256773,1
16,15,256797,0
16,15,302388,48
16,15,334309,2
16,15,388289,40
16,15,422883,2
16,15,422931,3
16,15,423076,2
16,15,423557,1
16,15,423744,3
16,15,424112,4
16,15,424365,2
16,15,424431,1
16,15,424496,1
16,15,428497,0
16,15,428516,0
16,15,428538,0
16,15,475191,-1
16,15,475328,-1
16,15,475448,-1
16,15,653329,18
16,15,973274,0
16,15,1071975,0
16,15,1072008,0
16,15,1072056,0
16,15,1072147,0
16,15,1150832,7
16,15,1207739,1
16,15,1208133,1
16,15,1208453,3
16,15,1208523,1
16,15,1253687,0
16,15,1253789,9
16,15,1272534,2
16,15,1692308,0
16,15,1692341,0
16,15,1692381,0
16,15,1692470,0
16,15,1692498,0
16,15,1692591,7
16,15,1696700,68
16,15,1773331,169
16,15,2105101,6
16,15,2106801,2
16,15,2106847,2
16,15,2107183,2
16,15,2108730,2
16,15,2119465,17
16,15,2121632,0
16,15,2121765,0
16,15,2121857,0
16,15,2121893,0
16,15,2124288,33
16,15,2125312,14
16,15,2208669,0
16,15,2208683,2
16,15,2295373,44
16,15,2378590,0
16,15,2391219,3
16,15,2391243,32
16,15,2391369,14
16,15,2391870,4
17,467,850665,77
17,467,2198129,-1
17,467,2203237,40
18,37,329628,21
18,37,936074,2
18,37,936108,2
18,37,1065493,36
18,37,1455270,2
18,37,1455320,3
18,37,1455427,2
18,344,1546549,-1
19,61,72993,199
19,61,812242,-1
20,508,1117035,0
20,508,1117143,5
20,508,1117205,116
21,268,146934,2
21,268,239237,98
21,4,563661,8
21,4,1611467,-1
21,4,1611528,97
21,4,1712103,-1
22,360,1716314,3
22,360,1719299,27
22,255,1797575,49
24,499,334209,26
24,179,558235,0
24,179,1116361,2
24,179,1193495,65
24,179,1684929,48
26,362,216219,45
26,362,216235,-1
26,27,516208,876
26,27,683185,4
26,362,727812,34
26,362,812847,4
26,362,814547,0
26,362,814596,0
26,27,936978,2
26,27,987272,0
26,369,1012479,76
26,27,1012857,2
26,27,1043213,0
26,289,1044962,3
26,289,1045006,250
26,27,1128154,142
26,27,1525658,0
26,27,1525675,0
26,27,1525685,17
26,27,1525911,17
26,27,1816407,280
26,27,1816621,281
26,27,1885447,623
26,27,1885675,623
27,26,515943,10
27,26,578497,240
27,26,591679,25
27,26,679873,174
27,26,683513,15
27,50,746011,26
27,26,987233,-1
27,26,987358,408
27,26,989683,33
27,221,997117,43
27,26,1020379,374
27,221,1029960,62
27,221,1035476,0
27,26,1056866,-1
27,26,1056908,6
27,221,1096279,80
27,26,1123139,-1
27,26,1123176,-1
27,26,1123217,2
27,26,1182633,175
27,26,1182843,175
27,221,1193901,2
27,50,1376148,39
27,50,1444937,0
27,50,1444976,0
