# index, id, female, _pos
0,0,0,"array([ 10.97326429, -14.08538066])"
1,3,0,"array([ 11.682113  , -12.17420266])"
2,4,0,"array([  9.10239407, -13.51266005])"
3,5,0,"array([ 12.81412555, -18.51461056])"
4,6,0,"array([ 8.62673827, -9.58179487])"
5,7,0,"array([10.96439783, -4.63897325])"
6,8,0,"array([16.24143598, -8.46977346])"
7,11,0,"array([ 13.15099858, -13.8618661 ])"
8,12,0,"array([ 12.97395755, -13.60906553])"
9,13,0,"array([ 12.83255652, -13.32967817])"
10,14,0,"array([  8.79509058, -15.79681824])"
11,15,0,"array([  8.473052  , -13.10649389])"
12,16,0,"array([ 12.30684723, -14.39615713])"
13,17,0,"array([ 16.94322915, -12.20832189])"
14,19,0,"array([ 8.23875774, -5.38535303])"
15,20,0,"array([ 4.00236431, -9.19932098])"
16,21,0,"array([ 4.11264667, -9.23063061])"
17,22,0,"array([ 6.62259717, -5.08724735])"
18,23,0,"array([ 10.8069732 , -12.50132221])"
19,24,0,"array([  4.32560005, -16.94091626])"
20,25,0,"array([ 13.13573105, -14.20992124])"
21,27,0,"array([ 8.76958276, -9.92973177])"
22,28,0,"array([ 10.62543615, -14.85884892])"
23,31,0,"array([  7.27408402, -16.49149171])"
24,33,0,"array([  2.68737916, -17.24425816])"
25,35,0,"array([  1.69356511, -14.57063802])"
26,36,0,"array([ 10.2351026 , -12.84559346])"
27,37,0,"array([  9.95204135, -12.62976608])"
28,38,0,"array([  0.57946629, -11.89772697])"
29,39,0,"array([  8.66629042, -21.22182664])"
30,42,0,"array([  8.02843845, -11.34195174])"
31,43,0,"array([  1.99343496, -14.39206415])"
32,46,0,"array([ 7.84058116, -5.20466847])"
33,47,0,"array([ 7.94727381, -5.36792456])"
34,48,0,"array([ 11.6130289 , -12.42179062])"
35,49,0,"array([ 11.56640309, -12.55588853])"
36,50,0,"array([ 10.33412265, -18.84013006])"
37,51,0,"array([ 10.50569991, -12.79131259])"
38,52,0,"array([ 10.42917809, -13.03136526])"
39,56,0,"array([ 16.08355595, -16.61132801])"
40,57,0,"array([ 7.46721826, -9.46319876])"
41,58,0,"array([  8.42081102, -12.90577193])"
42,59,0,"array([ 10.84295138, -19.11933367])"
43,62,0,"array([12.84630932, -4.49041555])"
44,63,0,"array([11.72545373, -8.49907834])"
45,64,0,"array([  7.62131654, -10.74157918])"
46,65,0,"array([ 5.41295629, -9.50817608])"
47,66,0,"array([  5.33985022, -16.65554555])"
48,67,0,"array([  8.58077214, -13.98289944])"
49,68,0,"array([  8.82159586, -14.15749044])"
50,69,0,"array([  9.76003688, -12.25153973])"
51,70,0,"array([  7.49363329, -13.33452093])"
52,71,0,"array([  0.92823936, -10.10669485])"
53,72,0,"array([ 17.46071365, -13.47777063])"
54,73,0,"array([ 17.38160147, -13.14519946])"
55,74,0,"array([ 11.60033692, -12.76338588])"
56,75,0,"array([ 10.00800886, -13.01898477])"
57,76,0,"array([  7.69965997, -15.93794945])"
58,79,0,"array([ 11.99290025, -20.08271221])"
59,80,0,"array([  8.8705342 , -12.57277624])"
60,81,0,"array([ 10.12050243, -10.52681349])"
61,82,0,"array([  4.41900146, -16.6962433 ])"
62,83,0,"array([ 9.85671448, -7.72201702])"
63,85,0,"array([  7.46923867, -12.64084468])"
64,88,0,"array([ 11.54474393, -13.68883683])"
65,89,0,"array([  5.27663212, -17.88467087])"
66,90,0,"array([  8.28912549, -10.56129062])"
67,91,0,"array([  8.14719916, -10.52486738])"
68,92,0,"array([  5.137271  , -14.56941142])"
69,93,0,"array([ 16.55059648, -15.5262885 ])"
70,94,0,"array([ 12.41925915, -10.39067147])"
71,95,0,"array([  6.94343704, -13.65900813])"
72,96,0,"array([ 11.27919804, -12.86056905])"
73,97,0,"array([  9.67056511, -10.51866853])"
74,98,0,"array([  3.27389418, -13.57978095])"
75,100,0,"array([  8.47043926, -13.38532301])"
76,101,0,"array([  8.56106053, -15.3107878 ])"
77,102,0,"array([12.66941993, -4.86100839])"
78,104,0,"array([ 11.25953016, -12.38515736])"
79,105,0,"array([ 16.79755519, -10.72489279])"
80,106,0,"array([  7.54638168, -12.48302054])"
81,107,0,"array([  9.01535531, -12.88573967])"
82,108,0,"array([ 11.25083393, -14.20344016])"
83,109,0,"array([ 10.71330138, -12.67700363])"
84,111,0,"array([  9.15258436, -14.7311829 ])"
85,113,0,"array([  2.64121759, -15.64563357])"
86,114,0,"array([ 1.71482261, -8.73774801])"
87,115,0,"array([ 13.17387447, -13.17766854])"
88,116,0,"array([  6.52450399, -19.35643598])"
89,117,0,"array([ 11.79332614, -20.22869245])"
90,118,0,"array([14.24586739, -7.33587921])"
91,119,0,"array([ 16.6536422 , -10.46538243])"
92,120,0,"array([ 14.6634984 , -12.98924622])"
93,121,0,"array([ 11.31698142, -12.12693973])"
94,122,0,"array([ 16.82021874, -10.22094846])"
95,126,0,"array([ 10.98820544, -11.452761  ])"
96,128,0,"array([ 12.14896099, -15.15520754])"
97,129,0,"array([ 13.0042276 , -11.38121258])"
98,131,0,"array([ 11.24007075, -11.40975775])"
99,133,0,"array([  9.60875631, -13.00437759])"
100,135,0,"array([ 14.48343221, -18.39613167])"
101,136,0,"array([ 11.47724893, -14.48058466])"
102,137,0,"array([ 11.58468779, -14.36893906])"
103,139,0,"array([  7.18690466, -12.90663504])"
104,140,0,"array([14.47172964, -6.96007697])"
105,141,0,"array([  9.78265748, -10.15698262])"
106,142,0,"array([13.54138238, -4.74801874])"
107,143,0,"array([11.89091727, -6.23133616])"
108,144,0,"array([  9.7007322 , -14.58380661])"
109,145,0,"array([ 10.18109853, -10.79287725])"
110,146,0,"array([ 10.09243576, -10.97106488])"
111,147,0,"array([ 13.47567793, -13.77243932])"
112,149,0,"array([ 10.68044604, -15.56930351])"
113,151,0,"array([  9.65576323, -11.68487235])"
114,152,0,"array([ 11.88069458, -10.96775449])"
115,153,0,"array([ 14.01451089, -19.35258847])"
116,155,0,"array([ 13.74198062, -16.55433206])"
117,157,0,"array([  3.0143477 , -11.67517641])"
118,158,0,"array([ 12.17760946, -10.59435637])"
119,159,0,"array([ 3.97149408, -7.06169148])"
120,161,0,"array([  1.39190451, -16.00684818])"
121,162,0,"array([  2.50816337, -12.93616083])"
122,163,0,"array([ 6.93132756, -8.85435462])"
123,164,0,"array([ 6.81978905, -9.23311811])"
124,165,0,"array([ 12.85409384, -12.18401183])"
125,166,0,"array([ 12.31385808, -12.22459248])"
126,167,0,"array([13.70440091, -9.7273928 ])"
127,169,0,"array([ 10.74196141, -12.17033311])"
128,170,0,"array([  7.35148064, -18.58967174])"
129,171,0,"array([ 11.55286807, -13.46153765])"
130,172,0,"array([  6.81598754, -13.83636723])"
131,173,0,"array([  8.70723594, -11.8375295 ])"
132,174,0,"array([ 5.10572968, -7.12579324])"
133,175,0,"array([ 16.92710111, -10.44098507])"
134,176,0,"array([  9.63337355, -10.78450586])"
135,177,0,"array([  8.18201221, -13.70493026])"
136,178,0,"array([ 11.9735375 , -10.36662968])"
137,179,0,"array([ 11.86722815, -11.62767477])"
138,180,0,"array([ 12.06917624, -11.92938855])"
139,183,0,"array([  7.7441855 , -11.22366283])"
140,185,0,"array([ 11.22837876, -16.28550312])"
141,186,0,"array([  9.77123238, -12.68734829])"
142,188,0,"array([ 9.67527645, -4.21793725])"
143,190,0,"array([ 10.57597485, -12.31687353])"
144,191,0,"array([ 9.65248291, -8.16936629])"
145,192,0,"array([ 4.80310335, -5.18416   ])"
146,193,0,"array([ 11.51701473, -11.89521418])"
147,194,0,"array([ 10.93481049, -12.90411503])"
148,195,0,"array([ 15.77752954, -15.93390005])"
149,197,0,"array([ 4.15168567, -7.98092041])"
150,199,0,"array([ 10.36696675, -20.29578512])"
151,200,0,"array([  7.99941831, -12.30303435])"
152,201,0,"array([ 12.25277419, -19.90268005])"
153,202,0,"array([10.1570919 , -5.66783588])"
154,203,0,"array([ 4.98942585, -4.96201269])"
155,204,0,"array([  7.04973031, -11.31495056])"
156,206,0,"array([  4.14980609, -10.49502419])"
157,207,0,"array([  9.89517826, -14.9421867 ])"
158,208,0,"array([ 11.51532811, -14.75682701])"
159,210,0,"array([ 11.10794529, -16.46018377])"
160,211,0,"array([  9.52400984, -15.75095588])"
161,212,0,"array([  4.90899952, -13.8523228 ])"
162,214,0,"array([  0.69255792, -14.3006534 ])"
163,215,0,"array([  7.39712332, -20.20783901])"
164,217,0,"array([ 10.43113966, -11.31630611])"
165,218,0,"array([  2.49698479, -11.26755014])"
166,219,0,"array([ 13.37377399, -12.92881773])"
167,220,0,"array([10.34495301, -8.01271628])"
168,221,0,"array([  9.34816429, -13.15666823])"
169,222,0,"array([  8.19702167, -14.78749836])"
170,224,0,"array([14.33453184, -6.65745442])"
171,225,0,"array([ 4.24340427, -7.74852916])"
172,227,0,"array([ 4.82482462, -7.29459541])"
173,228,0,"array([ 5.91089625, -9.27535455])"
174,235,0,"array([ 13.13845869, -15.88442039])"
175,236,0,"array([ 11.06786389, -11.11750372])"
176,237,0,"array([  9.62661257, -13.61573139])"
177,239,0,"array([ 12.56181244, -12.52238057])"
178,240,0,"array([ 8.29330914, -8.53554155])"
179,242,0,"array([  2.67445239, -17.46121467])"
180,243,0,"array([ 10.70830904, -10.77665274])"
181,244,0,"array([ 12.68898606, -14.0385721 ])"
182,246,0,"array([ 9.96889816, -4.31131925])"
183,248,0,"array([ 5.27172988, -6.58688053])"
184,250,0,"array([ 9.02883404, -5.49146012])"
185,252,0,"array([ 6.34258453, -5.65952429])"
186,253,0,"array([  9.88871469, -14.29779798])"
187,254,0,"array([ 11.92760533, -13.79555644])"
188,256,0,"array([ 5.87486414, -9.7236876 ])"
189,257,0,"array([14.76602346, -7.67154984])"
190,258,0,"array([  8.09911369, -11.85152952])"
191,259,0,"array([ 10.81421593, -13.71191844])"
192,260,0,"array([11.59485483, -9.26501055])"
193,261,0,"array([  0.61581108, -11.54811154])"
194,262,0,"array([  5.83586076, -13.9140888 ])"
195,263,0,"array([  9.7450574 , -12.41868138])"
196,265,0,"array([12.06380513, -5.5424001 ])"
197,266,0,"array([  9.25286958, -13.6060646 ])"
198,267,0,"array([  9.25922587, -11.37459794])"
199,268,0,"array([  9.72142668, -11.42798786])"
200,269,0,"array([  9.08107194, -11.25850887])"
201,271,0,"array([ 12.16880519, -10.00337932])"
202,272,0,"array([ 12.16231632, -12.40505739])"
203,273,0,"array([  5.36598897, -13.67162865])"
204,274,0,"array([ 12.16820572, -15.96597092])"
205,278,0,"array([  6.97133888, -16.85387072])"
