# index, id, female, _pos
0,0,0,"array([9.87752054, 9.47331662])"
1,1,0,"array([14.01826447,  8.48829345])"
2,3,0,"array([9.49087854, 8.61995874])"
3,4,0,"array([10.14891546,  8.91243908])"
4,5,0,"array([11.13645932,  8.7453193 ])"
5,6,0,"array([9.27543657, 8.84808152])"
6,8,0,"array([9.20799166, 6.8400436 ])"
7,9,0,"array([ 8.66506739, 12.39040175])"
8,11,0,"array([10.38003958,  7.73611734])"
9,12,0,"array([10.30132599,  8.14195268])"
10,13,0,"array([10.1954031 ,  8.08271906])"
11,14,0,"array([8.73459846, 8.29207375])"
12,15,0,"array([9.25646375, 9.07112741])"
13,18,0,"array([ 6.387662  , 10.64955716])"
14,19,0,"array([10.46415021, 10.33807636])"
15,20,0,"array([6.98214944, 6.3154158 ])"
16,21,0,"array([7.0142211 , 6.31357222])"
17,22,0,"array([6.20689263, 8.8237818 ])"
18,23,0,"array([9.09548646, 8.0098146 ])"
19,24,0,"array([13.47487364,  8.56002478])"
20,25,0,"array([10.48161424,  8.70920008])"
21,26,0,"array([13.49698954,  9.32398785])"
22,27,0,"array([9.35811875, 8.80998451])"
23,28,0,"array([8.74755911, 7.44208407])"
24,29,0,"array([9.42634253, 8.19031376])"
25,31,0,"array([9.20412203, 7.81774158])"
26,33,0,"array([ 6.65554648, 10.96362553])"
27,35,0,"array([9.42120331, 4.34218265])"
28,36,0,"array([9.79964922, 9.21744387])"
29,37,0,"array([9.74171575, 9.13149976])"
30,39,0,"array([8.7710843 , 8.88703005])"
31,42,0,"array([12.84142007, 11.00014073])"
32,43,0,"array([9.33560428, 4.32868651])"
33,46,0,"array([10.07114264,  9.81669531])"
34,47,0,"array([10.31845216, 10.24562633])"
35,48,0,"array([9.59959122, 8.51530792])"
36,49,0,"array([9.56660498, 8.57617893])"
37,50,0,"array([ 9.10829997, 10.08992646])"
38,51,0,"array([9.01554833, 8.00823485])"
39,52,0,"array([10.0303483 ,  8.81131097])"
40,54,0,"array([10.88260549,  8.52344973])"
41,55,0,"array([10.01110998,  9.52142224])"
42,56,0,"array([8.03638536, 9.69756561])"
43,57,0,"array([9.74391293, 7.06698082])"
44,58,0,"array([8.90447016, 9.12218129])"
45,59,0,"array([9.19818338, 9.79578385])"
46,61,0,"array([ 9.44885658, 10.71263624])"
47,62,0,"array([8.93887131, 6.52392814])"
48,63,0,"array([11.77286866,  8.83106933])"
49,64,0,"array([9.84326651, 7.88434018])"
50,65,0,"array([10.01779761, 10.92403168])"
51,66,0,"array([9.4116148 , 9.38046058])"
52,67,0,"array([10.48990469,  9.22422485])"
53,68,0,"array([10.36017304,  8.43512833])"
54,69,0,"array([9.87362444, 8.96658244])"
55,70,0,"array([10.87620078,  8.24940761])"
56,71,0,"array([6.68722723, 5.66569421])"
57,72,0,"array([10.18248984,  9.56857459])"
58,73,0,"array([10.02358635,  9.224209  ])"
59,74,0,"array([9.45418621, 8.77505078])"
60,75,0,"array([8.91612451, 8.0493205 ])"
61,76,0,"array([9.52300619, 7.92128298])"
62,79,0,"array([13.79820768, 10.03600746])"
63,81,0,"array([11.47594625, 11.26706728])"
64,82,0,"array([13.48576413,  8.64518796])"
65,83,0,"array([11.52457569,  4.85060362])"
66,85,0,"array([8.13128412, 8.43433885])"
67,88,0,"array([9.97208415, 8.20487559])"
68,89,0,"array([12.66960566,  6.79334088])"
69,90,0,"array([9.82778891, 8.04773206])"
70,91,0,"array([9.83749929, 8.01163133])"
71,92,0,"array([11.23329778,  7.78789688])"
72,93,0,"array([8.3768159 , 9.51661146])"
73,94,0,"array([9.69040918, 7.74595017])"
74,95,0,"array([10.98122574,  8.1795217 ])"
75,96,0,"array([9.37252698, 8.57943308])"
76,97,0,"array([10.23931367,  8.89680203])"
77,98,0,"array([8.70814352, 4.76738337])"
78,99,0,"array([8.5444549, 9.2706305])"
79,100,0,"array([9.34040941, 9.13169741])"
80,102,0,"array([9.03224381, 6.68871946])"
81,104,0,"array([9.74533923, 8.86419895])"
82,105,0,"array([11.28196009,  8.2959469 ])"
83,106,0,"array([8.0637173 , 8.47252002])"
84,108,0,"array([9.68708383, 8.95314838])"
85,109,0,"array([9.61523663, 8.76957445])"
86,111,0,"array([9.01449804, 8.63971944])"
87,112,0,"array([8.91652601, 8.80317788])"
88,114,0,"array([7.73203183, 4.20588316])"
89,115,0,"array([9.07806548, 3.05641105])"
90,116,0,"array([ 9.40450145, 10.03273604])"
91,118,0,"array([8.58224909, 8.83993767])"
92,119,0,"array([11.18988236,  8.27482539])"
93,120,0,"array([11.00195525,  7.1143051 ])"
94,121,0,"array([9.90738847, 8.80289928])"
95,122,0,"array([11.18596119,  8.35467628])"
96,123,0,"array([9.74583724, 6.85736492])"
97,126,0,"array([9.83416854, 8.60673328])"
98,128,0,"array([9.98105323, 9.96459664])"
99,129,0,"array([8.87453324, 8.22826591])"
100,131,0,"array([9.86504044, 8.41659986])"
101,133,0,"array([9.95156325, 9.47059454])"
102,135,0,"array([13.1359217 ,  6.64094243])"
103,136,0,"array([10.07134676,  9.08177146])"
104,137,0,"array([10.10926093,  9.0509207 ])"
105,139,0,"array([8.74697323, 9.22873751])"
106,140,0,"array([8.25573853, 8.71816425])"
107,141,0,"array([10.16920793,  8.84293031])"
108,143,0,"array([11.33070765, 11.41277802])"
109,144,0,"array([10.26456689,  9.36842318])"
110,145,0,"array([10.19352044,  8.60152451])"
111,146,0,"array([10.13480475,  8.68170515])"
112,147,0,"array([10.37944354,  8.03524613])"
113,148,0,"array([10.01776969,  4.39147837])"
114,149,0,"array([9.86957212, 9.89237507])"
115,151,0,"array([10.08198434,  8.93896453])"
116,152,0,"array([10.00090743,  7.44755332])"
117,153,0,"array([5.70939498, 9.79555049])"
118,154,0,"array([8.82478617, 8.03662213])"
119,155,0,"array([10.40637019,  9.88163005])"
120,157,0,"array([8.94240122, 8.93798927])"
121,158,0,"array([9.84740818, 7.60931543])"
122,161,0,"array([9.46362335, 7.07357576])"
123,162,0,"array([8.76603629, 6.78267255])"
124,163,0,"array([9.71102955, 7.17715128])"
125,164,0,"array([9.6614809 , 7.25714443])"
126,165,0,"array([9.63508845, 8.05848354])"
127,166,0,"array([9.7232622 , 8.10357806])"
128,167,0,"array([9.19257098, 7.40801928])"
129,169,0,"array([9.83351461, 9.13895215])"
130,170,0,"array([10.59485633, 10.01153948])"
131,171,0,"array([9.52299754, 8.48109303])"
132,172,0,"array([11.15296928,  8.13623761])"
133,173,0,"array([11.1571265 ,  9.26697791])"
134,174,0,"array([8.36422891, 9.07891396])"
135,175,0,"array([11.14624302,  8.30742578])"
136,176,0,"array([10.10538313,  8.83211992])"
137,177,0,"array([9.37792566, 9.20203708])"
138,178,0,"array([9.8949092 , 7.66838601])"
139,179,0,"array([9.27065795, 8.68931419])"
140,180,0,"array([9.24328588, 8.17362088])"
141,182,0,"array([10.11294702,  7.856632  ])"
142,183,0,"array([11.5244148 ,  9.21186278])"
143,185,0,"array([ 9.73584252, 10.3081982 ])"
144,186,0,"array([9.65806352, 9.12767348])"
145,187,0,"array([9.18327825, 8.38778773])"
146,188,0,"array([8.1274468 , 8.02362237])"
147,190,0,"array([9.34827767, 8.71951492])"
148,191,0,"array([9.40182396, 7.99535331])"
149,192,0,"array([10.84462614,  7.88421533])"
150,193,0,"array([9.28627973, 8.76686012])"
151,194,0,"array([9.92474184, 8.63491845])"
152,195,0,"array([8.15519289, 9.5186489 ])"
153,197,0,"array([8.10416102, 9.04410562])"
154,199,0,"array([13.36112724,  7.24366215])"
155,200,0,"array([8.94749621, 9.89388455])"
156,201,0,"array([13.72440326, 10.01162121])"
157,202,0,"array([10.7760316 ,  4.81745872])"
158,203,0,"array([10.85641282,  7.80237564])"
159,204,0,"array([9.82964416, 7.76560817])"
160,205,0,"array([8.73285235, 9.5479051 ])"
161,207,0,"array([10.48799471,  9.40874234])"
162,208,0,"array([9.77289886, 9.8192886 ])"
163,210,0,"array([ 9.78317466, 10.17700832])"
164,211,0,"array([10.82008632,  9.37138696])"
165,212,0,"array([13.40000888,  6.12760503])"
166,213,0,"array([10.61013555, 10.09019241])"
167,214,0,"array([5.82366326, 7.1779475 ])"
168,215,0,"array([8.6527559 , 7.80833356])"
169,217,0,"array([9.38460297, 8.93425247])"
170,218,0,"array([9.14947543, 9.11927212])"
171,219,0,"array([10.33761528,  8.26503599])"
172,220,0,"array([11.46393723,  4.99192474])"
173,221,0,"array([10.08682841,  8.63231755])"
174,222,0,"array([10.78060972,  8.41493697])"
175,224,0,"array([8.14316209, 8.68517435])"
176,225,0,"array([8.06942556, 8.93796443])"
177,227,0,"array([8.19593928, 9.05639249])"
178,229,0,"array([8.83800058, 9.43764475])"
179,232,0,"array([13.04515287,  5.9213694 ])"
180,233,0,"array([13.34371086, 10.61242006])"
181,234,0,"array([9.06901587, 9.31912214])"
182,235,0,"array([10.17466643,  9.71082865])"
183,236,0,"array([10.34562831,  8.6992898 ])"
184,237,0,"array([10.00356846,  9.41514647])"
185,238,0,"array([13.44314534,  9.41518752])"
186,239,0,"array([9.31549027, 8.35160574])"
187,240,0,"array([8.41704297, 9.91879587])"
188,242,0,"array([ 6.61742633, 10.91838714])"
189,243,0,"array([7.52534693, 5.03130011])"
190,244,0,"array([10.6214787 ,  8.84561043])"
191,246,0,"array([8.03929498, 7.98993161])"
192,249,0,"array([10.16570659,  8.4262682 ])"
193,250,0,"array([10.96880663, 10.57279552])"
194,252,0,"array([ 8.58471461, 10.33724209])"
195,253,0,"array([8.39956132, 7.96459126])"
196,254,0,"array([9.69085622, 8.33763385])"
197,256,0,"array([ 9.97597498, 10.70258909])"
198,257,0,"array([8.48537979, 8.80641405])"
199,258,0,"array([11.61218884,  9.59829399])"
200,259,0,"array([10.50456055,  9.51369579])"
201,260,0,"array([11.45118265,  8.81394494])"
202,262,0,"array([10.64643428,  8.3494928 ])"
